TRACT,POP100,AREALAND
5858,11099,118435397
5860,10707,4716138
5828,9551,2579350
6001,9453,9456126
3314,8198,15794569
5839,8128,25588744
5017,7956,1335146
4710,7849,1346230
2982,7804,2005830
3415,7702,3986139
5855,7620,2517268
3106,7595,2194381
3613,7551,2606001
5877,7499,418437714
5872,7482,335586834
3265,7474,2019078
2974,7295,4741313
5347,7250,8984732
3229,7241,8205795
5441,7148,6652575
3228,7043,1387663
4302,7031,839425
3647,7022,2283918
5717,7006,3488474
2978,6907,7234750
950701,6886,10510858
5829,6867,1505010
5866,6863,4972197
2975,6821,4626433
1004,6820,2796863
3419,6810,1513418
3220,6808,2992043
3423,6786,1975419
5864,6774,3378089
5713,6765,3486145
1801,6761,2047053
2842,6749,3190906
5440,6744,4596418
3641,6738,2752724
2980,6724,1296310
3233,6702,3062877
3264,6685,1341160
101,6669,3767445
2976,6630,6754050
3610,6630,2703323
3630,6618,2690222
1013,6604,39582634
2200,6572,108387800
5364,6571,2697680
5857,6553,2070583
1607,6549,1448760
5111,6549,2054557
2613,6546,24433609
2845,6424,925441
5354,6369,2025250
2851,6359,1552590
3640,6351,4047981
3318,6347,2251894
5844,6310,2809422
4921,6309,1330854
2618,6302,74656145
4715,6285,1436301
5846,6284,4315314
5313,6280,2138736
3219,6251,2299131
4925,6245,1044024
4912,6227,1394209
1500,6211,10057120
4703,6209,1730597
5010,6173,2812256
5831,6166,6394196
501,6158,3156516
960304,6139,30031223
2611,6130,9446596
5818,6118,526676588
3635,6115,1529248
2501,6110,2798931
5343,6083,2580732
5841,6075,4190454
5865,6060,2617822
960409,6013,24871139
2213,6004,2095529
5862,5982,1980655
950702,5944,3351669075
3307,5935,2734968
2844,5925,1299885
2837,5923,5879297
103,5917,1298899
4712,5891,2303664
2958,5885,1310433
4714,5865,1382266
4709,5853,1301127
514,5850,1913109
3517,5839,4237067
3319,5833,1707320
2404,5826,683025
950700,5822,1003011318
5867,5811,1266729
516,5795,1831624
5852,5785,1975664
5355,5770,7112050
5016,5767,7281748
3204,5756,4774306
2610,5753,4143442
3305,5743,3242390
950600,5736,1813277006
2846,5725,1628398
3620,5717,2317376
5116,5691,1668736
3320,5689,4150862
3003,5676,1660168
2901,5673,1243733
3422,5670,1497502
518,5668,1829769
5346,5661,2382901
960410,5656,151086691
5348,5631,3257767
5433,5623,2975271
4100,5609,1346450
5351,5589,1879259
3511,5588,4731086
5432,5574,2430107
3316,5569,6958167
800,5538,26729935
950302,5526,5825694
951201,5517,59682395
2841,5511,7964547
2802,5509,1437093
5822,5506,2001807
1103,5500,11935469
960408,5493,25144050
2838,5492,3241786
3616,5484,8744655
5825,5475,1329332
3429,5445,1502510
3627,5443,1559905
5014,5438,1289655
5317,5425,2638838
3644,5416,1297810
3102,5414,1433428
3643,5406,1297390
4920,5401,1299483
2905,5378,2712853
3218,5370,4041898
5719,5364,3029475
3303,5351,2490916
3651,5341,1293115
5353,5340,1510488
3413,5275,2594524
510,5274,1144317
517,5257,1340136
1901,5249,1351678
5856,5248,1864999
5868,5248,1287571
2616,5247,1760390
3408,5246,2015214
2705,5238,23990120
2834,5233,1317784
2814,5217,2261363
4200,5207,1395941
3409,5198,1718422
2830,5193,1785696
302,5188,2309196
2833,5186,1374421
3110,5186,1817525
3250,5182,2009694
2915,5176,2740731
3203,5172,42024250
5103,5165,1991459
5434,5165,5010769
1503,5157,1617753
519,5155,1330621
2941,5154,1475492
2985,5151,5015449
5114,5149,1929194
6104,5142,108464590
900,5087,1197260
2937,5084,1210736
515,5075,1339509
5874,5063,1253180
960106,5062,127481799
5437,5060,17708369
4601,5018,1705803
3519,5011,23820868
960303,5001,448539650
6204,4985,6620646
5873,4984,1596117
3655,4978,1724866
2966,4971,610055
3609,4968,2668824
960305,4965,40230005
2821,4944,2720949
3800,4943,2220399
3410,4937,2166741
5850,4929,1332454
3222,4926,2267477
5360,4925,5627910
7200,4924,14862199
3266,4919,4720819
10701,4916,7272738
3234,4915,978749
2801,4912,3262074
3637,4902,1356184
5015,4895,3436856
2950,4894,1083500
951500,4892,8676389558
2000,4884,2575738
4500,4875,1351279
5102,4853,1926727
2704,4835,5411193
5006,4814,1357929
3243,4797,1395256
1710,4794,1454918
3412,4794,1892138
1611,4791,1452982
201,4787,2185454
6800,4778,15451024
3652,4773,1330990
2201,4766,3372852
1615,4763,796568
5837,4747,1864215
3512,4746,7809714
3245,4743,1374698
2902,4719,2486142
4713,4714,1799851
960108,4709,9198241
3662,4708,2633268
2944,4700,1608028
5349,4697,2607944
3646,4695,1415317
5804,4690,1605125
3665,4684,1242383
1015,4677,5186603
3660,4632,1365812
1300,4624,1786484
3237,4619,2212231
2409,4618,6342982
2403,4613,714988
5803,4606,1465266
2615,4606,4376060
3263,4605,1483432
5335,4600,4213389
2979,4599,6565312
5830,4588,1447041
2203,4585,975555
5423,4581,1920679
6201,4577,2564865
3666,4564,1587813
5442,4561,5697275
960405,4552,83903012
5711,4549,569514342
2942,4548,1334803
3309,4540,3257366
2919,4528,2645848
106,4527,1361238
2219,4523,2459480
1104,4505,3995318
2210,4500,33005016
5013,4499,2223835
1001,4480,1213602
5813,4474,1299363
951202,4470,2839058425
3639,4450,1392409
5361,4446,1673959
5501,4441,54648892
2304,4432,6510498
4919,4425,1311964
5715,4422,5008577
2996,4420,498955
3312,4406,2511167
5807,4402,1303568
2954,4399,960016
3634,4399,1358922
1010,4392,5602221
2998,4391,1300128
951401,4377,300835821
2614,4357,2401735
4911,4353,1050918
2411,4348,2426958
3503,4348,20739085
5422,4344,2150500
3252,4334,1763164
3420,4330,1307968
3104,4329,793879
5809,4308,1362396
2981,4306,981267
3631,4300,1314765
3648,4297,3956881
2212,4293,1022398
2204,4288,672065
3513,4280,12516489
3508,4279,4628553
6202,4269,1170521
3626,4267,7989429
5847,4267,1320893
1609,4263,1313211
3322,4260,5746591
3650,4260,1274880
1712,4256,1535348
2953,4254,1193783
4918,4250,1344606
5107,4250,1373020
5806,4250,1310078
2831,4246,1259624
5502,4245,39441903
3215,4237,1392499
2405,4233,570457
1902,4231,1302954
3501,4228,13330418203
3507,4225,3549599
5835,4213,1346445
1003,4211,2590653
10702,4210,189596625
1613,4209,1267862
3645,4205,1311957
3642,4194,2619137
2964,4187,611574
4924,4174,1423538
5845,4170,1859996
4926,4167,1341372
5005,4160,1317667
3267,4157,8497221
2977,4154,2583058
950301,4150,4483325
1502,4150,1351610
5904,4149,51720779
1011,4148,7493436
2811,4138,2418731
4923,4135,1038872
3700,4126,4564791
5108,4111,1443103
960412,4109,152862412
970200,4104,683182692
5613,4100,2136510232
2401,4095,2357849
1402,4092,1746750
3418,4082,1185723
3205,4077,70341601
3306,4074,2653099
3427,4073,1202168
5352,4071,1664074
3638,4070,1389111
5859,4068,712991
7600,4067,2322470071
2407,4064,2257872
3315,4062,1006209
200,4062,2616614
5316,4057,1396742
2612,4057,35988409
1200,4055,1819228
5336,4050,1943058
2847,4041,7796310
2822,4038,1441638
960416,4030,79015492
2105,4029,1517911
5849,4027,1360399
5200,4016,2403328
5439,4013,1207921
5848,4010,1379309
107,4009,1248433
5607,4007,2577919
3227,4006,2117575
3633,4006,1338831
960105,3998,2896614
5826,3996,1330855
2707,3995,1664974
2620,3993,5955292
203,3987,2033657
601,3973,3591863
3241,3967,1385984
960104,3967,1712817
400,3964,39647318
105,3962,2034699
2967,3962,617235
5366,3961,6249374
521,3958,819539
5435,3952,68257279
3246,3947,1374386
1006,3932,2245909
1105,3928,4159674
3661,3925,1341982
2406,3923,640158
5362,3909,2913492
2622,3900,3800465
3001,3895,1335202
3240,3894,3758577
1002,3876,165828058
3411,3874,2043477
1903,3873,941219
2706,3868,653629
2207,3866,427885
2211,3862,1912951
2823,3858,893632
2218,3857,1862411
2850,3850,1296888
3619,3829,1689950
3254,3825,1246402
300,3825,115200587
2504,3820,1235506
2997,3811,1309058
5350,3806,1833148
5836,3787,1165419
2940,3784,980994
3005,3779,1320943
5720,3779,39937094
4402,3772,781110
1804,3760,976835
108,3748,959920
2848,3739,1064777
3239,3738,1111075
3518,3735,3945783
1703,3730,1105081
5869,3721,665498
5365,3720,6774325
2970,3714,623906
3516,3702,100816292
5824,3693,1502122
3510,3692,1792777
513,3666,1324072
10502,3665,94420147
3268,3655,4959343
5421,3642,1262308
2300,3642,665518818
1504,3636,1443716
5903,3631,10703636
3253,3628,1851774
5716,3626,2275301
5011,3618,936752
3247,3611,1447284
5705,3607,224201745
2603,3597,1990482
109,3591,968318
2829,3590,1367691
960107,3588,3289112
3522,3588,4061812
3207,3586,79247582
3260,3585,982610
2828,3583,3190154
5321,3583,1592208
502,3581,1615152
5358,3576,1077089
4907,3573,2748914
2217,3567,2668552
3270,3559,760510
527,3551,766167
3311,3551,1245813
951404,3551,823032446
3664,3549,1075762
2810,3546,1211253
2506,3544,647391
3244,3532,1389151
3656,3529,2052700
960407,3529,9289358
3421,3512,1156242
951403,3510,11731240
2965,3507,1236913
1714,3502,1320601
3430,3499,642547
2623,3498,6649609
4915,3493,1367666
3006,3491,1367368
7900,3487,1417921
2104,3477,7905393
2106,3462,1190215
5808,3452,1187990
1711,3440,1209785
1400,3439,7081682
2948,3435,1314223
1708,3433,986613
1014,3433,7560669
702,3429,1298400
1401,3424,1118382
3103,3418,758064
5842,3418,4290283
4917,3417,1263809
5702,3398,18791531
960411,3396,1264408792
1501,3395,1009466
3654,3389,814911
1012,3375,10840523
3109,3374,2193263
5805,3369,2232259
1706,3356,1953339
4716,3351,907319
2983,3348,2639297
2206,3344,1129640
3313,3343,1248684
5113,3337,4139876
5875,3328,1394571
5504,3325,1712634
2825,3324,1333215
1701,3320,1303971
1713,3314,1378652
4000,3304,1097145
3249,3302,1466996
3108,3297,2031459
2208,3296,3245603
5834,3291,10844168
1802,3280,876203
3002,3278,922242
2936,3274,997290
960413,3273,21845796
5870,3270,689588
3223,3269,4365103
402,3265,1382724
5843,3261,3055026
5104,3254,1092445
4717,3251,1314126
6103,3242,1373082
3621,3241,2046821
970700,3237,489901881
3426,3235,1248000
3431,3210,749216
522,3206,612293
1203,3199,770064
7100,3191,3919292
1718,3180,716690
3248,3178,1194210
2849,3156,656893
5333,3150,1398027
5337,3142,1407817
528,3117,584406
4707,3110,1359063
5722,3105,3837739
2413,3100,1160348
6203,3084,739669
2408,3071,1964523
3112,3064,1045409
5342,3060,1664300
3514,3052,7080434
3615,3048,2568091
5112,3048,12284630
3632,3047,1326618
3208,3037,2728238
5318,3032,1632509
2826,3027,1421697
3500,3016,983593
3211,3012,2563978
1201,3009,4599744
5438,3008,2219935
5012,2998,935497
301,2996,3657040
4602,2996,2466744
5106,2989,792160
1704,2984,1460790
3317,2961,899635
2956,2958,3946358
1101,2956,1612007
1100,2954,1341927
1610,2952,1186538
3269,2946,1534678
4910,2937,610698
3416,2926,1209898
2827,2922,1090676
3308,2917,2390105
5115,2914,1868159
1000,2906,5454891
1803,2889,955529
2853,2883,1177747
5721,2878,2985430
5503,2874,1593280
700,2870,1478745
525,2862,642634
526,2861,646616
960902,2859,759644449
5356,2858,3886724
4401,2850,636049
523,2848,934222
951300,2847,7829039
2916,2839,2775794
2836,2816,611613
5320,2804,888584
2835,2787,609941
2103,2774,23670040
4914,2773,1340654
3261,2769,1199453
3414,2765,3195121
602,2755,3224808
2708,2754,374461
960414,2749,9304103
5863,2746,682351
2703,2723,5092760
5319,2714,1441604
2949,2703,1019990
1018,2703,397334
3636,2697,1111088
2214,2693,6307427
3262,2691,2334676
202,2687,826399
1715,2685,674719
2215,2682,2433590
3321,2677,2576956
4916,2669,1349140
5311,2669,653792
2216,2655,2280776
600,2644,640656
5312,2639,985720
2968,2638,625559
3226,2606,2494223
5314,2601,1285326
3657,2595,24408600
701,2593,977580
2995,2564,1628813
3520,2559,5693784
960901,2558,4113202
104,2551,557004
2962,2544,12303930
5614,2542,2366625
5905,2541,3031873
2412,2534,6284281
2947,2528,3337436
2604,2520,1009369
3251,2517,1224340
3521,2511,1572996
5007,2506,1287775
960801,2505,466838722
3653,2499,1323894
524,2477,718408
950100,2464,9579192492
401,2463,933885
960203,2459,332732359
2952,2431,1649714
3210,2424,2040476
1904,2399,626999
3236,2382,3529927
3004,2372,657631
10501,2361,20277574199
3111,2357,20432189
1016,2343,609671
1614,2338,479790
960100,2338,22498479866
960200,2334,7759280323
5110,2324,3194538
951700,2324,19837132889
5341,2323,1021519
5363,2317,985472
403,2316,654832
1800,2301,24384101
5871,2297,681163
3105,2278,1272196
960205,2191,22573239
3235,2184,2220627
5718,2170,1060878
2808,2155,4518859
960802,2140,1844829494
970300,2135,90119230
10600,2133,4400671734
2505,2126,676346
950900,2111,4502277
3617,2102,1339424
951600,2095,1148319425
960300,2078,4172441317
3428,2061,663150
2100,2051,6806152
1019,2049,212528
960415,2041,12589490
2621,2037,14860116
950200,2023,7401761665
2946,2013,912249
960204,2001,312756700
2961,2000,4493501
1608,1990,1288439
520,1978,558061
3242,1964,2657083
2957,1933,2663440
3213,1928,1783840
940200,1926,1435930856
5704,1922,880931
5338,1911,1308823
4301,1904,368339
960301,1875,34364804
3649,1867,20620797
2500,1861,303688995
100,1855,10814982421
2939,1848,2618618
1900,1843,147139991
5876,1828,1002003980
2107,1828,2374872
1600,1799,57708530
3323,1798,1317124
1707,1792,985867
1204,1763,1302669
5615,1752,3148494
3214,1748,1543011
2969,1743,623891
3659,1741,1955102
960103,1722,107769526
2400,1717,369659652
1709,1715,1024978
2824,1700,1541872
6700,1698,4716625
1716,1689,827207
2938,1687,1946632
6900,1670,4001448
2935,1638,924466
2414,1633,559250
7801,1626,1216373
951000,1625,4471008
5861,1621,346708
5703,1615,3643492570
3663,1613,1655671
5322,1580,2172404
3206,1562,129839904
1717,1542,1384585
950800,1530,2093189
1005,1528,3240447
950500,1527,381112776
960206,1496,638937906
1700,1493,16602398
3310,1447,39568106
970100,1438,16757639284
5612,1410,2558781
2852,1392,867369
2605,1380,599666
5902,1359,5650775874
970800,1317,9225875589
3658,1289,1423464
7500,1194,1768685551
1017,1057,154591
2303,1025,375318
204,954,1738371
2302,757,3197231
7802,632,136220776
950400,291,33945200
980000,167,10304416
980300,12,269498433
990000,0,0
980500,0,10826417371
980100,0,15233599
980200,0,70347920
990100,0,0
